China International Capital Corporation Hong Kong Securities Limited,Shenwan Hongyuan Securities (H.K.) Limited,1
China International Capital Corporation Hong Kong Securities Limited,Macquarie Capital Limited,1
China International Capital Corporation Hong Kong Securities Limited,Daiwa Capital Markets Hong Kong Limited,1
China International Capital Corporation Hong Kong Securities Limited,Zhongtai International Securities Limited,2
China International Capital Corporation Hong Kong Securities Limited,Citigroup Global Markets Asia Limited,3
China International Capital Corporation Hong Kong Securities Limited,China Galaxy International Securities (Hong Kong) Co. Limited,3
China International Capital Corporation Hong Kong Securities Limited,Guoyuan Securities Brokerage (Hong Kong) Limited,2
China International Capital Corporation Hong Kong Securities Limited,J.P. Morgan Securities (Asia Pacific) Limited,1
China International Capital Corporation Hong Kong Securities Limited,CMBC Securities Company Limited,1
China International Capital Corporation Hong Kong Securities Limited,Haitong International Securities Company Limited,2
China International Capital Corporation Hong Kong Securities Limited,Shanghai Banking Corporation Limited,1
China International Capital Corporation Hong Kong Securities Limited,UBS AG Hong Kong Branch,1
China International Capital Corporation Hong Kong Securities Limited,Ping An Securities (Hong Kong) Company Limited,1
China International Capital Corporation Hong Kong Securities Limited,Guotai Junan Securities (Hong Kong) Limited,1
China International Capital Corporation Hong Kong Securities Limited,CCB International Capital Limited,4
China International Capital Corporation Hong Kong Securities Limited,BOCI Asia Limited,1
China International Capital Corporation Hong Kong Securities Limited,UOB Kay Hian (Hong Kong) Limited,1
SBI China Capital Financial Services Limited,CLSA Limited,1
SBI China Capital Financial Services Limited,CMB International Capital Limited,1
Orient Securities (Hong Kong) Limited,China International Capital Corporation Hong Kong Securities Limited,2
Orient Securities (Hong Kong) Limited,ICBC International Securities Limited,1
SPDB International Capital Limited,China International Capital Corporation Hong Kong Securities Limited,1
SPDB International Capital Limited,BOCOM International Securities Limited,1
SPDB International Capital Limited,CLSA Limited,1
SPDB International Capital Limited,CMBC Securities Company Limited,2
SPDB International Capital Limited,Guotai Junan Securities (Hong Kong) Limited,1
SPDB International Capital Limited,Livermore Holdings Limited,1
SPDB International Capital Limited,CCB International Capital Limited,2
SPDB International Capital Limited,China Galaxy International Securities (Hong Kong) Co. Limited,1
SPDB International Capital Limited,CMB International Capital Limited,2
SPDB International Capital Limited,Haitong International Securities Company Limited,1
SPDB International Capital Limited,SDICS International Securities (Hong Kong) Limited,1
SPDB International Capital Limited,China Securities (International) Corporate Finance Company Limited,1
SPDB International Capital Limited,DBS Asia Capital Limited,1
BOCI Asia Limited,CMBC Securities Company Limited,1
BOCI Asia Limited,CLSA Limited,4
BOCI Asia Limited,Sinolink Securities (Hong Kong) Company Limited,1
BOCI Asia Limited,CMB International Capital Limited,2
BOCI Asia Limited,Shenwan Hongyuan Securities (H.K.) Limited,1
BOCI Asia Limited,Haitong International Securities Company Limited,3
BOCI Asia Limited,ABCI Capital Limited,3
BOCI Asia Limited,CCB International Capital Limited,3
BOCI Asia Limited,Deutsche Bank AG,2
BOCI Asia Limited,Huatai Financial Holdings (Hong Kong) Limited,2
BOCI Asia Limited,Morgan Stanley Asia Limited,1
BOCI Asia Limited,China Merchants Securities (HK) Co. Limited,1
BOCI Asia Limited,China International Capital Corporation Hong Kong Securities Limited,1
BOCI Asia Limited,UOB Kay Hian (Hong Kong) Limited,1
