company,oc_date,sponsors,others,document_url
"Beijing Tong Ren Tang Healthcare Investment Co., Ltd.","30/06/2025","CICC","","https://www1.hkexnews.hk/app/sehk/2025/107518/documents/sehk25063003705.pdf"
"EVE Energy Co., Ltd.","30/06/2025","","CLSA","https://www1.hkexnews.hk/app/sehk/2025/107513/documents/sehk25063000794.pdf"
"Megatronix Inc.","30/06/2025","","CICC; Citi; Deutsche Bank","https://www1.hkexnews.hk/app/sehk/2025/107514/documents/sehk25063001355.pdf"
"Puxiang Healthcare Holding Limited","30/06/2025","","Shenwan Hongyuan; ABCI","https://www1.hkexnews.hk/app/sehk/2025/107511/documents/sehk25063000294.pdf"
"Reconova Technologies Co., Ltd.","30/06/2025","","Huatai; CCB; ABCI","https://www1.hkexnews.hk/app/sehk/2025/107520/documents/sehk25063004617.pdf"
"Robotphoenix Intelligent Technology Co., Ltd.","30/06/2025","ABCI","","https://www1.hkexnews.hk/app/sehk/2025/107517/documents/sehk25063003567.pdf"
"Shandong Linglong Tyre Co., Ltd.","30/06/2025","","CLSA; CMB","https://www1.hkexnews.hk/app/sehk/2025/107519/documents/sehk25063004397.pdf"
"Shanghai MediTrust Health Technology Group Co., Ltd.","30/06/2025","","CICC; The Hongkong and Shanghai Banking","https://www1.hkexnews.hk/app/sehk/2025/107512/documents/sehk25063000704.pdf"
"Shenzhen Woer Heat-Shrinkable Material Co., Ltd.","30/06/2025","","China Securities; CMS; Shanxi","https://www1.hkexnews.hk/app/sehk/2025/107449/documents/sehk25063004405.pdf"
"Silicon Magic Semiconductor Technology (Hangzhou) Co., Ltd.","30/06/2025","","Huatai","https://www1.hkexnews.hk/app/sehk/2025/107516/documents/sehk25063003273.pdf"
"Yangtuo Technology Inc.","30/06/2025","","CLSA","https://www1.hkexnews.hk/app/sehk/2025/107510/documents/sehk25063000182.pdf"
"Zijin Gold International Company Limited","30/06/2025","","Morgan Stanley; CLSA","https://www1.hkexnews.hk/app/sehk/2025/107515/documents/sehk25063004285.pdf"
"BlissBio Inc.","29/06/2025","","Huatai; CCB","https://www1.hkexnews.hk/app/sehk/2025/107507/documents/sehk25062900224.pdf"
"Hangzhou Diagens Biotechnology Co., Ltd.","29/06/2025","","Huatai","https://www1.hkexnews.hk/app/sehk/2025/107506/documents/sehk25062900128.pdf"
"Shanghai Jin Jiang International Hotels Co., Ltd.","29/06/2025","Orient Securities","","https://www1.hkexnews.hk/app/sehk/2025/107508/documents/sehk25062900314.pdf"
"160 Health International Limited","27/06/2025","","Shenwan Hongyuan; Zero2IPO Securities","https://www1.hkexnews.hk/app/sehk/2025/107498/documents/sehk25062703777.pdf"
"Anhui Haimacloud Technology Co., Ltd.","27/06/2025","","CICC; CMB","https://www1.hkexnews.hk/app/sehk/2025/107502/documents/sehk25062704103.pdf"
"GenFleet Therapeutics (Shanghai) Inc.","27/06/2025","CLSA","BOCOM; Fosun; ABCI","https://www1.hkexnews.hk/app/sehk/2025/107496/documents/sehk25062703453.pdf"
"Hebei Asset Management Co., Limited","27/06/2025","","Shanxi; CCB","https://www1.hkexnews.hk/app/sehk/2025/107504/documents/sehk25062704195.pdf"
"Jiangxi Qiyunshan Food Co., Ltd.","27/06/2025","","Zhongtai","https://www1.hkexnews.hk/app/sehk/2025/107484/documents/sehk25062700152.pdf"
"Jingze Biopharmaceutical (Hefei) Co., Ltd.","27/06/2025","","CICC; Guoyuan","https://www1.hkexnews.hk/app/sehk/2025/107493/documents/sehk25062703069.pdf"
"OmniVision Integrated Circuits Group, Inc.","27/06/2025","","CICC; Ping An Securities; GF Securities","https://www1.hkexnews.hk/app/sehk/2025/107490/documents/sehk25062702135.pdf"
"Ridge Outdoor International Limited","27/06/2025","","CICC","https://www1.hkexnews.hk/app/sehk/2025/107501/documents/sehk25062703899.pdf"
"SinoHyKey Technology Guangzhou Co., Ltd.","27/06/2025","","Haitong; CLSA","https://www1.hkexnews.hk/app/sehk/2025/107495/documents/sehk25062703435.pdf"
"Suzhou ecMAX Information Technology Co., Ltd.","27/06/2025","","CLSA; CMS; CCB; CEB; Zhongtai","https://www1.hkexnews.hk/app/sehk/2025/107457/documents/sehk25062700500.pdf"
"Yonyou Network Technology Co., Ltd.","27/06/2025","","CMB; CLSA","https://www1.hkexnews.hk/app/sehk/2025/107494/documents/sehk25062703209.pdf"
"Zhuhai Comking Electric Co., Ltd.","27/06/2025","","Fosun; Innovax Securities","https://www1.hkexnews.hk/app/sehk/2025/107487/documents/sehk25062700328.pdf"
"Allystar Technology (Shenzhen) Co., Ltd.","25/06/2025","","CMB; Ping An Securities; CLSA","https://www1.hkexnews.hk/app/sehk/2025/107435/documents/sehk25062502177.pdf"
