ticker,company,company_cn,type,date,shares,price_hkd,size_hkdm,sponsors,others,prospectus_url
"1983","Luzhou City Commercial Bank Co., Ltd.","瀘州市商業銀行股份有限公司","Global offering","04/12/2018","545740000","3.4","1855.516","CITIC","CCB; China Galaxy; Silk Road International Capital; SBI; Dongxing; Fortune; Guoyuan Capital","https://www1.hkexnews.hk/listedco/listconews/sehk/2018/1204/ltn20181204037.pdf"
"2281","Luzhou Xinglu Water (Group) Co., Ltd.","瀘州興瀘水務（集團）股份有限公司","Global offering","21/03/2017","214940000","2.53","543.7982","BOCOM","First Capital; Haitong","https://www1.hkexnews.hk/listedco/listconews/sehk/2017/0321/ltn20170321009.pdf"
"95","LVGEM (China) Real Estate Investment Company Limited","綠景（中國）地產投資有限公司","Global offering","01/12/2005","168000000","0.58","97.44","Tanrich","Core Pacific – Yamaichi International (H.K.); Prudential Brokerage; Watterson Asia","https://www1.hkexnews.hk/listedco/listconews/sehk/2005/1201/ltn20051201022.pdf"
"1745","Lvji Technology Holdings Inc.","驢跡科技控股有限公司","Global offering","31/12/2019","352700000","2.12","747.724","CCB","Bank of China; Fosun; CMB; Futu; Head & Shoulders Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2019/1231/2019123100127.pdf"
"2436","LX Technology Group Limited","凌雄科技集團有限公司","Global offering","14/11/2022","53259000","8.74","465.48366","Haitong","Futu; Tiger Brokers; Dragonstone Capital Management; Sinomax Securities; Maxa Capital; CSFG International Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1114/2022111400005.pdf"
"2245","Lygend Resources & Technology Co., Ltd.","宁波力勤资源科技股份有限公司","Global offering","21/11/2022","232547600","19.96","4641.650096","CICC; CMB","Bank of China; DBS; ABCI; BNP Paribas; Silverbricks Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1121/2022112100005.pdf"
"2181","Mabpharm Limited-B","邁博药業有限公司","Global offering","20/05/2019","783580000","1.5","1175.37","CICC","","https://www1.hkexnews.hk/listedco/listconews/sehk/2019/0520/ltn20190520005.pdf"
"1408","Macau E&M Holding Limited","濠江機電控股有限公司","Global offering","31/08/2020","125000000","1.2","150","Innovax","Eddid; Marketsense Securities; TD King Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0831/2020083100005.pdf"
"1553","Maike Tube Industry Holdings Limited","邁科管業控股有限公司","Global offering","29/11/2019","98400000","2.4","236.16","Fortune","Livermore Holdings; Zhongtai; First Shanghai; CVP Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2019/1129/2019112900019.pdf"
"2501","Maiyue Technology Limited","邁越科技股份有限公司","Global offering","28/09/2023","125000000","1.4","175","Quam","ABCI; BOCOM; China Galaxy; CMB; Guotai Junan; Zhongtai; Eddid; Innovax; Valuable Capital; Yue Xiu","https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0928/2023092800041.pdf"
